English,Czech
buying,nákupy
cancer,rakovina
clock,hodiny
ocean,oceán
dna,dna
liar,lhář
tour,prohlídka
thief,zloděj
bleep,pípnutí
lisa,lisa
rights,práva
including,počítaje v to
competition,soutěž
smith,Kovář
planned,plánovaná
emily,emily
boring,nudný
victims,oběti
mentioned,zmíněný
bones,ostatky
plant,rostlina
bless,žehnat
warning,Varování
knocking,klepání
re,re
crash,pád
bedroom,ložnice
lower,dolní
silver,stříbrný
groaning,sténání
madame,madame
defense,obrana
results,Výsledek
toilet,toaleta
event,událost
complicated,složitý
shape,tvar
priest,kněz
royal,královský
cheap,levný
romantic,romantický
downstairs,přízemí
invite,pozvat
fortune,štěstí
tears,slzy
avoid,vyhýbat se
reached,dosáhl
higher,vyšší
familiar,obeznámený
telephone,telefon
burning,hořící
filled,vyplněný
kelly,Kelly
alice,alice
airport,letiště
jobs,pracovní místa
grown,dospělý
walter,Walter
rachel,Rachel
giant,obří
insurance,pojištění
woods,les
n,n
scare,vyděsit
pleased,potěšený
period,doba
political,politický
player,hráč
stops,zastávek
secrets,tajemství
laura,laura
repeat,opakovat
photos,fotky
finds,nálezy
statement,tvrzení
suck,sát
younger,mladší
china,Čína
humans,lidé
delicious,Lahodné
particular,konkrétní
proper,řádný
rome,Řím
belongs,patří
attacked,napaden
bath,koupel
hired,najatý
site,site
knowledge,znalost
b,b
led,vedený
guests,Hosté
celebrate,slavit
map,mapa
horn,roh
eventually,nakonec
pity,Škoda
powers,síly
ashamed,zahanbený
assume,převzít
glasses,brýle
rise,stoupat
fixed,pevný
request,žádost
officers,důstojníci
pounds,liber
data,data
carefully,opatrně
per,za
depends,závisí
jury,porota
waited,čekal
positive,pozitivní
attorney,advokát
direction,směr
families,rodiny
clock,hodiny
doin,děláš
forces,síly
location,umístění
walls,stěny
useless,Zbytečný
grant,grant
saving,úspora
speaks,mluví
fought,bojoval
meal,jídlo
deliver,doručit
answers,odpovědi
changing,měnící se
temple,chrám
scary,strašidelný
millions,milióny
offered,nabízené
regular,pravidelný
carrying,nesoucí
official,oficiální
jacket,Bunda
switch,přepínač
grave,hrob
chase,honit
role,role
odd,zvláštní
sexy,sexy
faces,tváře
becomes,stává
closes,zavírá
badly,špatně
tall,vysoký
confused,zmatený
affair,aféra
television,televize
shock,šokovat
raised,zvýšen
panting,těžké dýchání
pizza,pizza
image,obraz
clears,Čistí
golden,zlatý
patients,pacienti
watched,pozorovala
committed,angažovaný
sexual,sexuální
suffer,trpět
arthur,arthur
wherever,kamkoli
plate,talíř
appear,objevit
chocolate,čokoláda
clever,chytrý
hm,hm
mercy,soucit
shots,výstřely
lucy,Lucie
dealing,jednání
trap,past
charges,poplatky
phil,phil
bang,třesk
poison,jed
butt,pažba
drove,řídil
yourselves,sami
headed,čele
babies,děti
yellow,žlutá
soup,polévka
mystery,tajemství
picking,picking
sat,sat
wound,rána
traffic,provoz
courage,odvaha
hunt,lov
indian,indický
rat,krysa
terms,podmínky
italian,italština
emma,emma
checking,checking
disease,choroba
managed,podařilo se
winner,vítěz
council,rada
appointment,jmenování
monday,pondělí
crack,crack
threat,ohrožení
jenny,Janička
physical,fyzický
nation,národ
source,zdroj
chose,vybral
healthy,zdravý
carl,Carl
victory,vítězství
rick,stoh
stood,stál
kicked,kopl
annie,annie
disgusting,nechutný
palace,palác
below,níže
shopping,nakupování
neighborhood,sousedství
march,březen
lips,rty
midnight,půlnoc
piss,čurat
advantage,výhoda
pure,čistý
india,Indie
aside,stranou
jerk,blbec
mail,pošta
dawn,svítání
effect,účinek
spell,hláskovat
freak,podivín
wood,dřevo
screwed,Screwed
enemies,nepřátelé
gary,Gary
awake,probudit
chuckling,smíchem
vacation,dovolená
violence,násilí
leo,Lev
grandmother,babička
modern,moderní
luke,Luke
firm,firma
prime,primární
heh,heh
touched,dojatý
talent,talent
whore,děvka
piano,klavír
license,licence
cooking,vaření
honour,čest
concern,znepokojení
moves,pohyby
available,k dispozici
factory,továrna
gods,bohové
value,hodnota
central,centrální
union,unie
mirror,zrcadlo
studio,studio
media,média
taxi,taxi
dies,dies
iron,žehlička
hearts,srdíčka
desire,touha
rob,okrást
claire,Claire
fred,fred
songs,písně
washington,washington
monkey,opice
pride,hrdost
pills,pilulky
miracle,zázrak
swim,plavat
burned,hořel
smells,voní
joking,žertování
christian,křesťan
bleeding,krvácející
hook,háček
beating,porážka
protection,ochrana
treatment,léčba
ear,ucho
carter,povozník
metal,kov
disappear,zmizet
grateful,vděčný
extremely,velmi
treasure,poklad
rescue,zachránit
capable,schopný
passing,pomíjivý
chatter,klábosení
result,výsledek
suffering,utrpení
sisters,sestry
laid,položeny
governor,guvernér
guards,strážní
louis,Louis
text,text
literally,doslovně
remove,odstranit
becoming,slušivý
performance,výkon
stronger,silnější
rate,hodnotit
deeply,hluboce
scream,výkřik
desert,poušť
vehicle,vozidlo
illegal,ilegální
pulling,tahání
throwing,házení
josh,dělat si srandu z
unbelievable,neuvěřitelný
ted,ted
zero,nula
dean,děkan
curious,zvědavý
sean,sean
candy,bonbón
bone,kost
tied,svázaný
edge,okraj
load,zatížení
susan,susan
ahh,ahh
mountains,hory
boom,výložník
former,bývalý
holiday,Dovolená
riding,jezdectví
scoffs,posmívá
hundreds,stovky
motherfucker,svině
sue,Žalovat
bags,sáčky
stealing,kradení
appears,objeví se
arrive,přijet
remains,Zůstává
decent,slušný
issues,problémy
tip,spropitné
fail,selhat
bride,nevěsta
pissed,rozzlobený
penny,penny
claim,Nárok
friendship,přátelství
desperate,zoufalý
flower,květ
dramatic,dramatický
refuse,odmítnout
solve,řešit
theme,téma
loving,milující
properly,správně
dragon,drak
mostly,většinou
chuck,hodit
directly,přímo
surface,povrch
FALSE,NEPRAVDIVÉ
cast,obsazení
junior,juniorský
hunting,lov
silent,tichý
thou,ty
egg,vejce
germany,Německo
punch,rána pěstí
africa,Afrika
woke,probudil
intelligence,inteligence
borrow,půjčit si
winning,vítězný
falls,pády
popular,oblíbený
escaped,unikl
witch,čarodějnice
convinced,přesvědčený
warn,varovat
announcer,hlasatel
champagne,šampaňské
dust,prach
kyle,Kyle
someday,někdy
fallen,padlý
stranger,cizinec
presence,přítomnost
tear,roztržení
st.,Svatý.
internet,Internet
monsieur,monsieur
therefore,proto
technology,technologie
tires,pneumatiky
toast,toast
wise,moudrý
clark,Clark
americans,američané
notes,poznámky
smoking,kouření
hank,přadeno
ls,ls
april,duben
wolf,vlk
precious,drahocenný
rooms,pokoje
coast,pobřeží
treated,léčit
material,materiál
released,uvolněný
uniform,jednotný
hated,nenáviděl
considered,považováno
rice,rýže
exchange,výměna
steps,kroky
blake,Blake
convince,přesvědčit
beast,bestie
cow,kráva
files,soubory
signs,znaky
drag,táhnout
cab,kabina
hung,visel
carried,nesený
ordinary,obyčejný
successful,úspěšný
eve,předvečer
mistakes,chyby
houses,domy
chattering,drnčení
brains,mozky
japan,Japonsko
creature,stvoření
fourth,Čtvrtý
separate,samostatný
cleaning,čištění
california,Kalifornie
lf,lf
ll,ll
shift,posun
elizabeth,Elizabeth
chicago,Chicago
exact,přesný
karen,Karen
goal,fotbalová branka
expert,expert
served,sloužil
direct,Přímo
score,skóre
row,řádek
marks,známky
twenty,dvacet
receive,dostávat
series,série
section,sekce
pilot,pilot
jackson,jackson
darkness,tma
thy,tvůj
sale,Prodej
destiny,osud
cure,lék
spoken,mluvený
armed,ozbrojený
rare,vzácný
helen,Helen
grade,školní známka
juice,džus
wide,široký
tower,věž
solution,řešení
schedule,plán
explosion,výbuch
wheel,kolo
cigarette,cigareta
julie,julie
fruit,ovoce
blew,foukal
victor,vítěz
talks,jednání
sacrifice,oběť
range,rozsah
button,knoflík
reports,zprávy
prisoner,vězeň
pie,koláč
effort,snaha
youth,mládí
pot,hrnec
eaten,jedl
taylor,Taylor
knees,kolena
garage,garáž
parking,parkoviště
ambulance,záchranná služba
staring,zírající
chances,šance
circumstances,okolnosti
sin,hřích
gordon,gordon
progress,pokrok
unusual,neobvyklý
county,okres
stairs,schody
campaign,kampaň
mon,pondělí
vision,vidění
reporter,zpravodaj
equipment,zařízení
moments,momenty
joey,Joey
mass,Hmotnost
alien,mimozemšťan
trapped,pasti
helps,pomáhá
route,trasa
defend,hájit
trace,stopa
nasty,protivný
tests,zkoušky
magazine,časopis
rocks,skály
dump,skládka
rude,hrubý
searching,vyhledávání
clue,vodítko
connected,spojený
amen,Amen
pushed,tlačil
merry,veselý
zone,pásmo
senior,senior
closing,závěrečný
freeze,zmrazit
emperor,císař
incident,incident
snake,had
mexico,Mexiko
lily,lilie
actor,herec
newspaper,noviny
sentence,věta
greg,Greg
leading,vedoucí
friendly,přátelský
jones,jones
chosen,Vybráno
engaged,zasnoubený
julia,Julie
charming,okouzlující
mustn,mustn
anger,hněv
spending,výdaje
learning,učení se
spy,vyzvědač
sharp,ostrý
shadow,stín
warrant,rozkaz
elevator,výtah
kingdom,království
ricky,ricky
jamie,Jamie
squad,četa
shoulder,rameno
wave,mávat
amanda,Amanda
highness,výsost
kinds,druhy
fishing,rybolov
sometime,nějakou dobu
attitude,přístup
sucks,saje
negative,negativní
screen,obrazovka
workers,pracovníci
bored,znuděný
cameras,kamery
similar,podobný
understanding,porozumění
beeps,pípnutí
chain,řetěz
bull,býk
gasping,lapal
fully,plně
robin,červenka
collect,sbírat
gorgeous,nádherný
morgan,morgan
passion,vášeň
writer,spisovatel
empire,říše
international,mezinárodní
curse,kletba
hire,pronájem
bastards,bastardi
puts,puts
leads,vodiče
id,id
blows,fouká
sons,synové
estate,majetek
customers,zákazníci
maggie,Maggie
gunshot,výstřel
i-,i-
device,přístroj
troops,vojsko
hug,objetí
design,design
movement,hnutí
thunder,hrom
object,objekt
loser,ztroskotanec
pen,pero
sobbing,vzlykající
politics,politika
despite,navzdory
alcohol,alkohol
climb,vylézt
clients,klienti
conference,konference
provide,poskytnout
marty,marty
seek,hledat
witnesses,svědků
earn,vydělat
trash,odpadky
valley,údolí
fashion,móda
howard,howard
episode,epizoda
prize,cena
previously,dříve
sports,sportovní
wanting,chtějí
debt,dluh
wishes,přání
hitler,Hitler
wire,drát
thee,tě
circle,kruh
approach,přístup
stock,skladem
facts,fakta
remembered,pamatoval
percent,procent
normally,normálně
tail,ocas
joined,připojila
education,vzdělání
bravo,Bravo
library,knihovna
rape,znásilnění
wings,křídla
growling,vrčení
thrown,hozen
tank,nádrž
exhales,vydechuje
authority,autorita
current,proud
failure,selhání
nightmare,noční můra
hitting,bít
glory,sláva
knocked,zaklepal
studying,studovat
barry,Barry
agency,agentura
apple,jablko
border,okraj
rope,lano
duck,kachna
reputation,pověst
confidence,důvěra
yard,yard
beloved,milovaný
lack,nedostatek
actual,aktuální
skills,dovedností
films,filmy
mental,duševní
salt,sůl
flesh,maso
anne,anne
secure,zajistit
highly,vysoce
federal,federální
sand,písek
emotional,citový
setting,nastavení
nothin,nic
senator,senátor
services,služby
robbery,loupež
hates,nesnáší
fed,Fed
reward,odměna
theater,divadlo
johnson,johnson
commit,spáchat
patrick,Patrik
entirely,zcela
extraordinary,mimořádný
ships,lodě
opposite,naproti
parties,strany
stands,stojany
terry,terry
chat,povídat si
events,Události
mummy,mumie
bay,záliv
slip,uklouznutí
disappointed,zklamaný
settled,usadil
begins,začíná
andrew,Andrew
alert,bdělý
detail,detail
pink,růžový
fellas,kámoši
accepted,přijatý
background,Pozadí
garbage,odpadky
panic,panika
minds,mysl
belt,pás
blowing,foukání
hollywood,hollywood
agreement,dohoda
jackie,Jackie
pushing,tlačení
ability,schopnost
tiger,tygr
whispering,šeptání
culture,kultura
saint,svatý
jesse,Jesse
task,úkol
solid,pevný
doll,panenka
intend,zamýšlet
district,okres
pa,pa
gee,jé
custody,péče
ignore,ignorovat
naturally,přirozeně
useful,užitečný
attempt,pokus
abandoned,opuštěný
cutting,výstřižek
kissed,políbil
guarantee,záruka
barking,štěkání
gather,shromáždit
policy,politika
u.s.,nás.
violent,násilný
maid,služka
embarrassing,trapný
childhood,dětství
wasting,chřadnutí
bow,luk
chick,kuřátko
sara,sara
disaster,katastrofa
revolution,revoluce
online,on-line
f,F
demon,démon
heavily,těžce
coincidence,náhoda
perform,provést
thin,tenký
terrific,úžasný
mac,gumák
crown,koruna
identity,identita
virgin,panna
impressive,impozantní
windows,Okna
no-one,nikdo
potential,potenciál
guitar,kytara
committee,výbor
dozen,tucet
delivery,dodávka
advance,záloha
quietly,tiše
stan,stan
teaching,výuka
hunter,lovec
latest,nejnovější
hurting,bolí
swing,houpačka
capital,hlavní město
counting,počítací
drew,kreslil
dirt,špína
whistle,pískat
marie,marie
hits,hity
doug,Doug
deny,odmítnout
urgent,naléhavý
threatened,ohrožen
behavior,chování
molly,molly
mixed,smíšený
stays,pobyty
assure,ujistit
subtitles,titulky
explanation,vysvětlení
wins,vyhrává
unique,unikátní
chasing,hnát
billion,miliarda
duke,vévoda
production,Výroba
slave,otrok
agents,agenti
carol,koleda
lets,Pojďme
cruel,krutý
mask,maska
sally,výpad
behave,chovat
bury,pohřbít
massive,masivní
pathetic,patetický
species,druh
approaching,blížící se
jo,jo
loan,půjčka
struggle,boj
dish,jídlo
trusted,důvěryhodný
jumped,skočil
firing,střelba
channel,kanál
abby,Abby
stopping,zastavení
asks,ptá
jean,Jean
swimming,plavání
daily,denně
basement,suterén
linda,linda
quarter,čtvrťák
erm,erm
bound,vázaný
navy,válečné loďstvo
article,článek
guide,průvodce
accused,obžalovaný
transfer,převod
guts,vnitřnosti
quality,kvalitní
fella,chlápek
roman,římský
greater,větší
damned,zatracený
couch,gauč
cheer,jásot
vegas,vegas
shoe,střevíc
title,titul
shy,plachý
punishment,trest
los,los
clicks,kliknutí
you,vy
closet,skříň
bye-bye,Ahoj
fever,horečka
coward,zbabělec
flash,blikat
impressed,dojem
bruce,bruce
siren,siréna
prisoners,vězni
sides,strany
bowl,miska
katie,Katie
supply,zásobování
sensitive,citlivý
hopefully,doufejme
rolling,válcování
roy,roy
dollar,dolar
tone,tón
voices,hlasy
g,G
i,já
cheating,podvod
confess,Přiznej se
demand,poptávka
museum,muzeum
unknown,neznámý
drama,drama
suspicious,podezřelý
adult,dospělý
todd,Todd
frightened,vystrašený
warned,varoval
steady,stabilní
kills,zabití
crossed,zkřížené
lou,lou
particularly,zejména
sandwich,sendvič
laws,zákony
joint,kloub
bullets,kulky
package,balík
trained,vyškoleni
thursday,Čtvrtek
boots,boty
possibility,možnost
albert,albert
civil,civilní
june,červen
germans,Němci
baseball,baseball
express,vyjádřit
miserable,bídný
tuesday,úterý
parker,parker
lion,lev
joseph,Joseph
refused,odmítnuto
shine,lesk
assault,útok
hong,hong
jokes,vtipy
breaks,přestávky
argue,dohadovat se
you-,vy-
trail,stezka
option,volba
recall,odvolání
mighty,mocný
collection,sbírka
oliver,oliver
wilson,wilson
accent,přízvuk
believes,věří
decisions,rozhodnutí
embarrassed,v rozpacích
mobile,"mobilní, pohybliví"
customer,zákazník
terribly,strašně
sec,sekunda
charity,dobročinnost
considering,s ohledem na
pussy,kočička
donna,donna
protecting,chránit
flag,vlajka
kidnapped,unesený
italy,Itálie
balance,Zůstatek
creatures,bytosti
nuclear,jaderný
wallet,peněženka
shout,křičet
vincent,vincent
entered,vstoupil
impression,dojem
angela,angela
jay,sojka
degrees,stupně
favour,laskavost
reaction,reakce
network,síť
jessica,Jessica
version,verze
concert,koncert
gear,Ozubené kolo
singer,zpěvák
diamond,diamant
defeat,porazit
steven,Steven
lane,pruh
blast,výbuch
wounded,zraněný
anytime,kdykoliv
partners,partneři
ages,ages
charlotte,Charlotte
ceremony,obřad
league,liga
bars,tyče
orange,oranžový
specific,charakteristický
conditions,podmínky
plastic,plastický
crisis,krize
fifth,pátý
term,období
self,já
offering,nabídka
bud,pupen
suffered,utrpěl
reported,hlášeno
commissioner,komisař
rip,roztržení
mysterious,tajemný
entrance,vchod
messed,neuspořádaný
tunnel,tunel
designed,navrhl
neighbor,soused
aboard,na palubě
sweat,potit se
justin,justin
ghosts,duchové
crimes,zločiny
costs,náklady
deserves,zasluhuje
dreaming,snění
bust,poprsí
el,el
teddy,teddy
kong,kong
messages,zprávy
enjoying,těší
afterwards,později
comfort,pohodlí
mason,zedník
surrender,kapitulace
gym,tělocvična
kitty,koťátko
crush,rozdrtit
yup,Jo
arranged,uspořádány
suits,obleky
pee,čurat
stress,stres
cave,jeskyně
wing,křídlo
jordan,Jordán
arrange,uspořádat
comrade,soudruh
noble,ušlechtilý
tricks,triky
betty,betty
launch,zahájení
legend,legenda
mix,směs
golf,golf
imagination,představivost
fox,liška
kissing,líbání
butter,máslo
tax,daň
gross,Hrubý
edward,edward
texas,texas
insist,trvat
marcus,Marcus
classic,klasický
selfish,sobecký
skull,lebka
frankie,Frankie
shown,zobrazeny
bat,netopýr
survived,přežil
print,tisk
champion,mistr
bills,bankovky
therapy,terapie
lifetime,život
throughout,po celou dobu
a.m.,dopoledne
nathan,Nathan
toward,směrem k
sauce,omáčka
experiment,experiment
margaret,Margaret
describe,popsat
ross,ross
grass,tráva
cheat,ošidit
attend,zúčastnit se
homework,domácí práce
lewis,Lewis
betrayed,zradila
servant,služebník
cap,víčko
tyler,tyler
bible,bible
practically,prakticky
catherine,Kateřina
steel,ocel
wipe,utřít
burns,popáleniny
j,j
generation,generace
cabin,chata
financial,finanční
industry,průmysl
bond,pouto
sheep,ovce
scientists,vědci
beaten,poražený
heck,kruci
deck,paluba
fans,fanoušci
script,skript
brand,značka
degree,stupeň
painful,bolestivý
coughing,kašel
religion,náboženství
cats,kočky
stephen,Stephen
influence,vliv
fuel,palivo
drawing,výkres
uh-oh,A jé
rabbit,králičí
exercise,cvičení
attractive,přitažlivý
touching,dojemný
virus,virus
realise,realizovat
torture,mučení
blessed,blahoslavený
plain,prostý
rebecca,Rebecca
recent,nedávný
barbara,barbara
footsteps,kroky
sacred,posvátný
removed,odstraněny
pretending,předstírá
wasted,zbytečný
jewish,židovský
goodnight,dobrou noc
robot,robot
crystal,krystal
confirm,potvrdit
lad,chlapec
mile,míle
division,divize
scratch,poškrábat
reminds,připomíná
walks,procházky
ending,konec
russia,Rusko
contest,soutěž
valuable,cenný
distant,vzdálený
dumped,dumpingové
motion,pohyb
electricity,elektřina
centre,centrum
murders,vraždy
tina,tina
jeremy,Jeremy
seal,těsnění
standard,Standard
ellen,Ellen
wore,nosil
surrounded,obklopen
struck,udeřil
inform,informovat
gentle,jemný
status,postavení
purse,peněženka
prints,tisky
players,hráči
charged,nabitá
begging,žebrání
delivered,dodáno
kenny,kenny
buck,dolar
nina,nina
construction,konstrukce
confirmed,potvrzena
confession,zpověď
trigger,spoušť
cells,buňky
frankly,upřímně řečeno
ali,ali
exit,výstup
response,Odezva
cancel,zrušení
argument,argument
principal,ředitel školy
turkey,krocan
lucas,Lucas
clinic,klinika
greetings,Pozdravy
neighbors,sousedé
vice,svěrák
toy,hračka
hannah,hannah
everyday,každý den
generous,štědrý
gain,získat
idiots,idioti
holly,cesmína
enjoyed,těší
jungle,džungle
link,odkaz
underground,podzemí
smiling,usmívající se
mistress,paní
teams,týmy
product,produkt
beef,hovězí
whispers,šeptá
religious,náboženský
presents,představuje
identify,identifikovat
chip,čip
chffffff,chffffff
surveillance,dohled
carlos,Carlos
vampire,upír
routine,běžný
uses,použití
michelle,michelle
underneath,pod
systems,systémy
temperature,teplota
waves,vlny
tribe,kmen
brad,brad
deputy,náměstek
sophie,Sophie
headquarters,sídlo společnosti
equal,rovnat se
phones,telefony
ken,dosah poznání
reckon,počítat
related,příbuzný
incredibly,neuvěřitelně
chill,chlad
spit,plivat
tracks,stopy
oscar,Oskar
makeup,makeup
bug,Chyba
sounded,znělo
spirits,nálada
nerve,nerv
divorced,rozvedený
stake,kůl
port,přístav
doorbell,domovní zvonek
worries,obavy
nephew,synovec
miller,mlynář
units,Jednotky
just-,prostě-
proceed,pokračovat
landing,přistání
traitor,zrádce
outfit,výstroj
chloe,chloe
bail,kauce
fields,pole
patience,trpělivost
recording,záznam
foolish,bláhový
loaded,načtení
tokyo,Tokio
davis,davis
costume,kostým
wayne,wayne
injured,zraněné
somethin,něco
ian,ian
pet,pet
cage,klec
digging,kopání
spain,Španělsko
seats,sedadla
awkward,trapný
cleaned,vyčistit
pattern,vzor
filthy,špinavý
visiting,hostující
jews,židé
answering,záznamník
concentrate,soustřeď se
someplace,někde
citizens,občané
aim,cíl
nancy,nancy
affairs,záležitosti
thick,tlustý
sport,sport
basic,základní
electric,elektrický
pleasant,příjemný
cliff,útes
nail,nehet
russell,russell
environment,životní prostředí
western,západní
average,průměrný
ease,ulehčit
raped,znásilněna
interrupt,přerušit
judy,jitka
satisfied,spokojený
beep,pípnutí
starving,hladovějící
documents,dokumenty
anniversary,výročí
beth,beth
election,volby
warrior,bojovník
r,r
forth,vpřed
fetch,vynést
banks,banky
placed,umístěna
timing,načasování
stones,kameny
complex,komplex
frozen,zamrzlý
replace,nahradit
prayer,modlitba
skip,přeskočit
angeles,angeles
guilt,vina
tune,naladit
woo,vábit
actions,akce
conscience,svědomí
officially,oficiálně
martha,Martha
machines,stroje
smaller,menší
determined,odhodlaný
blown,foukané
hail,kroupy
unhappy,nešťastný
booth,budka
pour,nalévat
berlin,Berlín
cleared,vymazány
packed,zabalené
wrap,zabalit
randy,chlípný
behalf,jménem
reasonable,rozumný
trunk,kmen
homes,domovy
festival,festival
tradition,tradice
cigarettes,cigarety
le,le
beside,vedle
harvey,Harvey
motive,motiv
beings,bytosti
bishop,biskup
dealer,obchodník
defendant,obžalovaný
backup,záloha
wounds,rány
ouch,Au
ann,ann
nearby,poblíž
drank,pil
effects,účinky
jonathan,Jonathan
dennis,Dennis
benefit,výhoda
adventure,dobrodružství
p,p
territory,území
ve,ve
apology,omluva
dylan,Dylan
unlike,na rozdíl od
owns,vlastní
boxes,krabice
thus,tím pádem
clay,jíl
developed,rozvinutý
busted,Busted
pipe,trubka
gray,šedá
no.,Ne.
goods,zboží
favourite,oblíbený
salad,salát
loyal,loajální
atmosphere,atmosféra
eva,eva
freaking,podivínský
dropping,shazování
strangers,cizinci
mouse,myš
downtown,centrum
francisco,francisco
heroes,hrdinové
pit,jáma
rotten,shnilý
paradise,ráj
meantime,mezitím
jess,Jess
organization,organizace
hills,kopce
exam,zkouška
cock,kohout
fairy,víla
earl,hrabě
comment,komentář
activity,aktivita
frame,rám
knight,rytíř
testing,testování
habit,zvyk
shelter,přístřeší
flow,tok
jennifer,Jennifer
holes,díry
prevent,zabránit
anthony,Anthony
lend,půjčovat
cooper,bednář
figures,čísla
boston,boston
sample,vzorek
strip,pás
landed,přistálo
buzzing,bzučení
monk,mnich
slightly,trochu
produce,vyrobit
annoying,nepříjemný
judgment,rozsudek
laundry,prádelna
ron,ron
lousy,mizerný
souls,duše
existence,existence
belly,břicho
tries,pokusy
foster,podporovat
returning,vrácení
answered,odpověděla
ward,hlídat
plants,rostliny
actress,herečka
chairman,předseda
individual,individuální
hopes,naděje
tattoo,tetování
fence,plot
sink,dřez
punk,pankáč
confident,sebejistý
yay,yay
mistaken,splést se
limit,omezit
bothering,obtěžoval
st,Svatý
uncomfortable,nepříjemný
wednesday,středa
gifts,dárkové předměty
policeman,policista
na,na
precisely,přesně
lawyers,právníci
greek,řecký
merely,pouze
criminals,zločinci
underwear,spodní prádlo
hoped,doufal
earned,vydělané
reveal,odhalit
appeared,objevil
derek,Derek
heavens,nebesa
personality,osobnost
batman,Bat-man
virginia,Virginie
wives,manželky
colour,barva
worker,pracovník
pope,papež
instructions,instrukce
intelligent,inteligentní
worrying,znepokojující
vince,Vince
comin,comin
cried,křičel
traveling,cestování
bells,zvony
x,X
impact,dopad
robbed,okradený
relief,úleva
host,hostitel
footage,záběry
odds,pravděpodobnost
patrol,hlídka
circus,cirkus
mud,bláto
captured,zachycen
lessons,vyučování
occasion,příležitost
sets,soupravy
pulse,puls
ad,inzerát
invented,vynalezl
diamonds,kule
matthew,Matthew
auntie,tetička
cloud,mrak
francis,Francis
angels,andělé
hers,její
classes,třídy
mm-hm,mm-HM
signature,podpis
complain,stěžovat si
blah,bla
monitor,monitor
options,možnosti
claims,nároky
flies,letí
pat,poklepat
britain,Británie
hid,hid
wailing,kvílení
listened,poslouchali
countries,země
vic,vic
yell,výkřik
rats,krysy
wondered,Zajímalo
smooth,hladký
resist,odolat
companies,společnosti
fantasy,fantazie
passport,cestovní pas
pitch,stoupání
hammer,kladivo
homicide,zabití
casey,Casey
holds,drží
flew,létal
jacob,Jakub
noon,poledne
helicopter,helikoptéra
dishes,nádobí
spin,roztočit
charm,kouzlo
slap,políček
apply,aplikovat
fools,hlupáci
screeching,Screeching
discover,objevit
previous,předchozí
kit,souprava
authorities,úřady
moaning,sténání
photograph,fotografie
sales,odbyt
fifty,padesáti
mickey,posměch
beneath,pod
farewell,rozloučení
clouds,mraky
slipped,uklouzl
represent,zastupovat
deaf,Hluchý
facing,obložení
offense,útok
citizen,občan
clown,klaun
snap,prasknutí
messing,Messing
hood,kapuce
twelve,dvanáct
interests,zájmy
cheated,podváděl
liz,liz
informed,informovaný
humanity,lidstvo
producer,výrobce
technically,technicky
accounts,účty
extreme,extrémní
gettin,dostání
cia,cia
ii,ii
pays,platí
profile,profil
oxygen,kyslík
jeez,ježíši
gene,gen
shed,kůlna
minor,Méně důležitý
ex,bývalý
theatre,divadlo
scientific,vědecký
lovers,milovníci
chaos,chaos
l.a.,Los Angeles.
rocket,raketa
math,matematika
stubborn,tvrdohlavý
august,srpen
oi,oi
chips,bramborové hranolky
intense,intenzivní
grey,Šedá
talkin,mluvící
terrorist,terorista
angle,úhel
invitation,pozvání
gus,Gus
gambling,karban
respond,reagovat
thirty,třicet
procedure,postup
absolute,absolutní
investigate,vyšetřovat
tragedy,tragédie
stable,stabilní
session,zasedání
capture,zajetí
marrying,ženění
ripped,roztrhl
attacks,útoky
stretch,protáhnout se
bush,keř
dates,Termíny
unable,neschopný
gates,brány
mars,Mars
artists,umělci
increase,zvýšit
tastes,chutná
cared,záleželo
bottles,lahve
highest,nejvyšší
whirring,vrčení
meanwhile,mezitím
nate,Nate
grabbed,popadl
pigs,prasata
chop,kotleta
olivia,Olivia
wheels,kola
shocked,šokován
reverend,ctihodný
commercial,komerční
escort,doprovod
engagement,střetnutí
corpse,mrtvola
louise,louise
worthy,hodné
scale,měřítko
beats,beats
williams,williams
threatening,hrozivý
exists,existuje
academy,akademie
acts,akty
hop,poskok
judges,soudci
furniture,nábytek
shared,sdílená
ralph,Ralph
consequences,důsledky
engineer,inženýr
schools,školy
softly,měkce
bombs,bomby
caroline,Caroline
shark,žralok
transport,doprava
population,počet obyvatel
succeed,povést se
creepy,strašidelný
sneak,žalobníček
studies,studie
destruction,zničení
keith,Keith
protected,chráněný
monsters,netvoři
joining,spojování
punished,potrestán
lightning,Blesk
malcolm,Malcolm
shell,skořápka
fascinating,fascinující
chamber,komora
ethan,ethan
romance,romantika
instance,instance
jumping,skákání
groups,skupiny
exhausted,vyčerpaný
testify,svědčit
studied,studoval
walker,chodec
pin,kolík
imagined,představoval
drill,vrtat
investigating,vyšetřující
ye,vy
experienced,zkušený
elena,elena
necklace,náhrdelník
loyalty,věrnost
junk,haraburdí
cole,cole
cries,výkřiky
stanley,stanley
rita,rita
southern,jižní
blocks,bloky
emotions,emoce
begun,Zahájení
maya,Maya
liver,játra
serving,porce
matches,zápasy
surgeon,chirurg
granted,udělen
jazz,jazz
july,červenec
supplies,dodávky
deeper,hlouběji
typical,typický
kicking,kopání
obey,poslouchat
dancer,tanečník
remote,dálkový
daughters,dcery
moron,kretén
latin,latinský
teachers,učitelé
toby,Toby
sandy,písečný
dragged,táhl
strategy,strategie
parent,rodič
jin,jin
album,album
compared,v porovnání
rubbish,odpadky
helpful,ochotný
